active_cases,confirmed_cases,control_classification,country_iso,country_name,daily_cases,daily_cases_growth,daily_cases_growth_ndays,daily_cases_mavg_100k,deaths,last_updated_cases,last_updated_rt,last_updated_subnotification,new_deaths,new_deaths_growth,new_deaths_mavg_100k,notification_rate,overall_alert,population,rt_high_95,rt_low_95,rt_most_likely,rt_most_likely_growth,situation_classification,state_id,state_name,subnotification_rate,trust_classification,data_last_refreshed
3655.0,149.0,,BR,Brasil,27.0,crescendo,4,0.25541579178616314,1.0,2020-03-26,,2020-03-26,1.0,estabilizando,0.001395714709214006,0.04021592442645074,,7164788,,,,,1.0,SC,Santa Catarina,0.9597840755735493,3.0,2021-01-20 09:14:51
1588.0,190.0,,BR,Brasil,28.0,crescendo,5,0.19952116677868856,1.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0008789478712717558,0.11713395638629283,,11377239,,,,,1.0,RS,Rio Grande do Sul,0.8828660436137071,3.0,2021-01-20 09:14:51
25.0,25.0,,BR,Brasil,1.0,estabilizando,12,0.08276400097013802,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,1.0,,2778986,,,,,0.0,MS,Mato Grosso do Sul,0.0,0.0,2021-01-20 09:14:51
11.0,11.0,,BR,Brasil,2.0,estabilizando,6,0.04591808328736743,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,1.0,,3484466,,,,,0.0,MT,Mato Grosso,0.0,0.0,2021-01-20 09:14:51
2224.0,38.0,,BR,Brasil,3.0,estabilizando,14,0.047019571825530605,1.0,2020-03-26,,2020-03-26,1.0,estabilizando,0.001424835509864564,0.015734989648033125,,7018354,,,,,0.0,GO,Goiás,0.9842650103519669,3.0,2021-01-20 09:14:51
2820.0,201.0,,BR,Brasil,6.0,estabilizando,1,0.7528352371994794,0.0,2020-03-26,,2020-03-26,0.0,estabilizando,0.0,0.07056737588652483,,3015268,,,,,0.0,DF,Distrito Federal,0.9294326241134752,3.0,2021-01-20 09:14:51
,6.0,,BR,Brasil,0.0,estabilizando,7,0.03938724697210539,0.0,2020-03-27,,,0.0,estabilizando,0.0,,,1777225,,,,,0,RO,Rondônia,,,2021-01-20 09:14:52
25.0,25.0,,BR,Brasil,2.0,estabilizando,10,0.2948063065872202,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,881935,,,,,0,AC,Acre,0.0,0.0,2021-01-20 09:14:52
26919.0,81.0,,BR,Brasil,14.0,crescendo,4,0.2557546608270961,1.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.002412779819123548,0.0029347826086956524,,4144597,,,,,1,AM,Amazonas,0.9970652173913044,3.0,2021-01-20 09:14:52
12.0,12.0,,BR,Brasil,2.0,estabilizando,6,0.2806387337580333,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,605761,,,,,0,RR,Roraima,0.0,0.0,2021-01-20 09:14:52
78.0,16.0,,BR,Brasil,3.0,estabilizando,9,0.023248069102560602,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.20411522633744858,,8602865,,,,,0,PA,Pará,0.7958847736625514,3.0,2021-01-20 09:14:52
3.0,3.0,,BR,Brasil,1.0,estabilizando,7,0.0354722719162476,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,845731,,,,,0,AP,Amapá,0.0,0.0,2021-01-20 09:14:52
9.0,9.0,,BR,Brasil,1.0,estabilizando,9,0.06993602760820058,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,1.0,,1572866,,,,,0,TO,Tocantins,0.0,0.0,2021-01-20 09:14:52
28.0,13.0,,BR,Brasil,3.0,estabilizando,7,0.024027653850834343,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.4700709219858156,,7075181,,,,,0,MA,Maranhão,0.5299290780141843,1.0,2021-01-20 09:14:52
10.0,10.0,,BR,Brasil,1.0,estabilizando,8,0.02749580154385871,1.0,2020-03-27,,2020-03-27,1.0,estabilizando,0.0030550890604287453,1.0,,3273227,,,,,0,PI,Piauí,0.0,0.0,2021-01-20 09:14:52
2749.0,282.0,,BR,Brasil,45.0,crescendo,1,0.33508255185731006,3.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.004380164076566145,0.10258926137912237,,9132078,,,,,1,CE,Ceará,0.8974107386208776,3.0,2021-01-20 09:14:52
2895.0,28.0,,BR,Brasil,9.0,estabilizando,15,0.08839834461267694,0.0,2020-03-27,,2020-03-27,0.0,estabilizando,0.0,0.009326424870466322,,3506853,,,,,0,RN,Rio Grande do Norte,0.9906735751295337,3.0,2021-01-20 09:14:52
